"Nr","ID","Examination_nr","Examination_type_nr","Task_type","target","performed","Date"
141,1,1,1,"abduction",62.3,63.3,"2018-02-24 11:40:25"
142,1,1,1,"abduction",90.8,86.9,"2018-02-24 11:40:43"
143,1,1,1,"abduction",120.5,122.5,"2018-02-24 11:41:02"
144,1,1,1,"abduction",61.5,62.1,"2018-02-24 11:41:23"
145,1,1,1,"abduction",89.7,90.4,"2018-02-24 11:41:42"
146,1,1,1,"abduction",120.9,123.4,"2018-02-24 11:42:04"
147,1,1,1,"abduction",60.3,64,"2018-02-24 11:42:25"
148,1,1,1,"abduction",91.9,93.9,"2018-02-24 11:42:44"
149,1,1,1,"abduction",119.2,117.4,"2018-02-24 11:43:01"
150,1,1,1,"abduction",58.7,61.5,"2018-02-24 11:43:19"
151,1,1,1,"abduction",89.6,93.2,"2018-02-24 11:43:34"
152,1,1,1,"abduction",120.7,123.8,"2018-02-24 11:43:49"
153,1,1,1,"abduction",61.3,66.8,"2018-02-24 11:44:04"
154,1,1,1,"abduction",90.2,93.6,"2018-02-24 11:44:18"
155,1,1,1,"abduction",121.5,131.7,"2018-02-24 11:44:34"
156,1,1,2,"flexion",61.7,66.6,"2018-02-24 11:45:53"
157,1,1,2,"flexion",90.2,93.4,"2018-02-24 11:46:08"
158,1,1,2,"flexion",119.2,119.2,"2018-02-24 11:46:23"
159,1,1,2,"flexion",62.6,76,"2018-02-24 11:46:40"
160,1,1,2,"flexion",90.3,93.8,"2018-02-24 11:46:54"
161,1,1,2,"flexion",118.6,112.8,"2018-02-24 11:47:11"
162,1,1,2,"flexion",60.8,66.2,"2018-02-24 11:47:28"
163,1,1,2,"flexion",91.6,93.8,"2018-02-24 11:47:43"
164,1,1,2,"flexion",119.8,113.8,"2018-02-24 11:47:57"
165,1,1,2,"flexion",59,73.3,"2018-02-24 11:48:13"
166,1,1,2,"flexion",91.4,95.1,"2018-02-24 11:48:28"
167,1,1,2,"flexion",120.2,117.3,"2018-02-24 11:48:43"
168,1,1,2,"flexion",57.4,71.2,"2018-02-24 11:48:57"
169,1,1,2,"flexion",90.4,95.1,"2018-02-24 11:49:11"
170,1,1,2,"flexion",119.9,120.2,"2018-02-24 11:49:26"
171,2,1,1,"abduction",63.1,63.2,"2018-02-24 12:31:21"
172,2,1,1,"abduction",86.4,90,"2018-02-24 12:31:39"
173,2,1,1,"abduction",118.1,118.5,"2018-02-24 12:31:58"
174,2,1,1,"abduction",60.6,60.1,"2018-02-24 12:32:16"
175,2,1,1,"abduction",87.7,90.9,"2018-02-24 12:32:34"
176,2,1,1,"abduction",116.2,119.4,"2018-02-24 12:32:54"
177,2,1,1,"abduction",60.8,64.3,"2018-02-24 12:33:15"
178,2,1,1,"abduction",88.2,89.6,"2018-02-24 12:33:35"
179,2,1,1,"abduction",117.4,118.8,"2018-02-24 12:33:54"
180,2,1,1,"abduction",59.9,59,"2018-02-24 12:34:10"
181,2,1,1,"abduction",85.1,90.4,"2018-02-24 12:34:26"
182,2,1,1,"abduction",116.1,121.8,"2018-02-24 12:34:43"
183,2,1,1,"abduction",58.2,65.5,"2018-02-24 12:35:07"
184,2,1,1,"abduction",85.9,90.8,"2018-02-24 12:35:25"
185,2,1,1,"abduction",120.5,127.7,"2018-02-24 12:35:40"
186,2,1,2,"flexion",62.1,65.2,"2018-02-24 12:36:47"
187,2,1,2,"flexion",88.9,92.4,"2018-02-24 12:37:02"
188,2,1,2,"flexion",119.4,116.3,"2018-02-24 12:37:16"
189,2,1,2,"flexion",59.2,71.4,"2018-02-24 12:37:31"
190,2,1,2,"flexion",89.6,92.5,"2018-02-24 12:37:45"
191,2,1,2,"flexion",117.5,117.4,"2018-02-24 12:38:00"
192,2,1,2,"flexion",60,67.5,"2018-02-24 12:38:12"
193,2,1,2,"flexion",90.3,94.8,"2018-02-24 12:38:26"
194,2,1,2,"flexion",120.1,119.2,"2018-02-24 12:38:41"
195,2,1,2,"flexion",59.9,60,"2018-02-24 12:38:55"
196,2,1,2,"flexion",90.2,89,"2018-02-24 12:39:09"
197,2,1,2,"flexion",122.1,127.6,"2018-02-24 12:39:24"
198,2,1,2,"flexion",58.7,65.1,"2018-02-24 12:39:37"
199,2,1,2,"flexion",89.8,97.3,"2018-02-24 12:39:51"
200,2,1,2,"flexion",117.5,117,"2018-02-24 12:40:09"
201,3,1,1,"abduction",62,58.7,"2018-02-24 13:18:54"
202,3,1,1,"abduction",89.4,86.2,"2018-02-24 13:19:10"
203,3,1,1,"abduction",118.4,109.9,"2018-02-24 13:19:27"
204,3,1,1,"abduction",59.7,65,"2018-02-24 13:19:41"
205,3,1,1,"abduction",90.4,93.8,"2018-02-24 13:19:55"
206,3,1,1,"abduction",120.9,116.5,"2018-02-24 13:20:11"
207,3,1,1,"abduction",61.7,61.8,"2018-02-24 13:20:24"
208,3,1,1,"abduction",91.1,88.1,"2018-02-24 13:20:39"
209,3,1,1,"abduction",122.4,110.1,"2018-02-24 13:20:57"
210,3,1,1,"abduction",62.3,65.4,"2018-02-24 13:21:10"
211,3,1,1,"abduction",89.9,87.3,"2018-02-24 13:21:23"
212,3,1,1,"abduction",121.5,112.6,"2018-02-24 13:21:38"
213,3,1,1,"abduction",56.2,53.6,"2018-02-24 13:21:51"
214,3,1,1,"abduction",89.5,84.7,"2018-02-24 13:22:05"
215,3,1,1,"abduction",120.7,121,"2018-02-24 13:22:21"
216,3,1,2,"flexion",61.1,48.6,"2018-02-24 13:24:09"
217,3,1,2,"flexion",95.1,90.5,"2018-02-24 13:24:23"
218,3,1,2,"flexion",120.8,121.2,"2018-02-24 13:24:39"
219,3,1,2,"flexion",59.3,55.9,"2018-02-24 13:24:54"
220,3,1,2,"flexion",90.3,97.3,"2018-02-24 13:25:09"
221,3,1,2,"flexion",122,119.7,"2018-02-24 13:25:24"
222,3,1,2,"flexion",59,56.4,"2018-02-24 13:25:39"
223,3,1,2,"flexion",89.5,102.3,"2018-02-24 13:25:54"
224,3,1,2,"flexion",121.2,121.9,"2018-02-24 13:26:12"
225,3,1,2,"flexion",59.4,52.9,"2018-02-24 13:26:29"
270,5,1,1,"abduction",123.6,128.4,"2018-02-24 15:37:41"
271,5,1,1,"abduction",63.9,79.7,"2018-02-24 15:37:55"
272,5,1,1,"abduction",95,93.1,"2018-02-24 15:38:08"
273,5,1,1,"abduction",119.5,120.9,"2018-02-24 15:38:22"
274,5,1,1,"abduction",62.2,82.8,"2018-02-24 15:38:38"
275,5,1,1,"abduction",93.3,108.8,"2018-02-24 15:38:53"
276,5,1,1,"abduction",128,123.8,"2018-02-24 15:39:11"
277,5,1,2,"flexion",64.4,73.2,"2018-02-24 15:40:36"
278,5,1,2,"flexion",94,103.2,"2018-02-24 15:40:49"
279,5,1,2,"flexion",120.2,118.4,"2018-02-24 15:41:03"
280,5,1,2,"flexion",61.8,81,"2018-02-24 15:41:18"
281,5,1,2,"flexion",92.6,93.6,"2018-02-24 15:41:33"
282,5,1,2,"flexion",122.9,124.1,"2018-02-24 15:41:49"
283,5,1,2,"flexion",60.5,76.7,"2018-02-24 15:42:02"
284,5,1,2,"flexion",92.1,99.7,"2018-02-24 15:42:15"
285,5,1,2,"flexion",118.8,120.1,"2018-02-24 15:42:31"
286,5,1,2,"flexion",64.9,78.6,"2018-02-24 15:42:47"
287,5,1,2,"flexion",91.7,97.9,"2018-02-24 15:43:00"
288,5,1,2,"flexion",121.9,123.6,"2018-02-24 15:43:12"
289,5,1,2,"flexion",62.3,75.6,"2018-02-24 15:43:26"
290,5,1,2,"flexion",93.7,96.4,"2018-02-24 15:43:38"
291,5,1,2,"flexion",118.9,114.6,"2018-02-24 15:43:52"
292,6,1,1,"abduction",62.5,68.7,"2018-02-24 16:45:50"
293,6,1,1,"abduction",90.9,92.2,"2018-02-24 16:46:09"
294,6,1,1,"abduction",121.2,127.3,"2018-02-24 16:46:28"
295,6,1,1,"abduction",62.5,63.6,"2018-02-24 16:46:53"
296,6,1,1,"abduction",88.6,93.2,"2018-02-24 16:47:12"
297,6,1,1,"abduction",117.3,126.2,"2018-02-24 16:47:36"
298,6,1,1,"abduction",61.4,57.6,"2018-02-24 16:47:58"
299,6,1,1,"abduction",92.7,95.9,"2018-02-24 16:48:28"
300,6,1,1,"abduction",118.8,126.9,"2018-02-24 16:48:47"
301,6,1,1,"abduction",60,59.6,"2018-02-24 16:49:08"
302,6,1,1,"abduction",119.5,126.9,"2018-02-24 16:49:30"
303,6,1,1,"abduction",60.5,64,"2018-02-24 16:49:51"
304,6,1,1,"abduction",92.2,94,"2018-02-24 16:50:18"
305,6,1,1,"abduction",120.8,128.2,"2018-02-24 16:50:55"
306,6,1,1,"abduction",89.5,97.8,"2018-02-24 16:51:18"
307,6,1,2,"flexion",62.7,59.8,"2018-02-24 16:52:38"
308,6,1,2,"flexion",90.7,89,"2018-02-24 16:52:57"
309,6,1,2,"flexion",119.9,113.9,"2018-02-24 16:53:18"
310,6,1,2,"flexion",61.6,59.6,"2018-02-24 16:54:10"
311,6,1,2,"flexion",90,92.6,"2018-02-24 16:54:31"
312,6,1,2,"flexion",118.4,122.3,"2018-02-24 16:54:52"
313,6,1,2,"flexion",61.8,64.5,"2018-02-24 16:55:13"
226,3,1,2,"flexion",89.1,89.4,"2018-02-24 13:26:45"
227,3,1,2,"flexion",122.5,121.8,"2018-02-24 13:27:01"
228,3,1,2,"flexion",60.2,49.2,"2018-02-24 13:27:17"
229,3,1,2,"flexion",91.9,94.8,"2018-02-24 13:27:33"
230,3,1,2,"flexion",122.2,127,"2018-02-24 13:27:50"
231,4,1,2,"abduction",56.4,58.3,"2018-02-24 14:05:13"
232,4,1,2,"abduction",91.2,90.9,"2018-02-24 14:05:32"
233,4,1,2,"abduction",125.6,119.9,"2018-02-24 14:05:56"
234,4,1,2,"abduction",62.1,62,"2018-02-24 14:06:17"
235,4,1,2,"abduction",86.9,89.7,"2018-02-24 14:06:47"
236,4,1,2,"abduction",122.8,110.2,"2018-02-24 14:07:15"
237,4,1,2,"abduction",56.9,65.2,"2018-02-24 14:07:31"
238,4,1,2,"abduction",90.1,99,"2018-02-24 14:07:48"
239,4,1,2,"abduction",119.1,112.4,"2018-02-24 14:08:05"
240,4,1,2,"abduction",64.6,71.1,"2018-02-24 14:08:24"
241,4,1,2,"abduction",87.7,89.4,"2018-02-24 14:08:42"
242,4,1,2,"abduction",121.9,125.1,"2018-02-24 14:09:00"
243,4,1,2,"abduction",60.5,67,"2018-02-24 14:09:16"
244,4,1,2,"abduction",84.8,83.9,"2018-02-24 14:09:34"
245,4,1,2,"flexion",117.9,110.4,"2018-02-24 14:09:49"
246,4,1,2,"flexion",60,63.2,"2018-02-24 14:12:00"
247,4,1,2,"flexion",88.6,92.4,"2018-02-24 14:12:16"
248,4,1,2,"flexion",118.2,113.7,"2018-02-24 14:12:36"
249,4,1,2,"flexion",60.4,80.9,"2018-02-24 14:12:52"
250,4,1,2,"flexion",90.9,90.9,"2018-02-24 14:13:07"
251,4,1,2,"flexion",119.2,122.9,"2018-02-24 14:13:26"
252,4,1,2,"flexion",61.3,67.4,"2018-02-24 14:13:40"
253,4,1,2,"flexion",88.9,95.9,"2018-02-24 14:13:57"
254,4,1,2,"flexion",119.1,118.8,"2018-02-24 14:14:18"
255,4,1,2,"flexion",61.6,71.2,"2018-02-24 14:14:34"
256,4,1,2,"flexion",89.8,93.7,"2018-02-24 14:14:48"
257,4,1,2,"flexion",116.1,107.2,"2018-02-24 14:15:05"
258,4,1,2,"flexion",61.8,78.8,"2018-02-24 14:15:21"
259,4,1,2,"flexion",89.6,90.1,"2018-02-24 14:15:35"
260,4,1,2,"flexion",117.3,115,"2018-02-24 14:15:52"
262,5,1,1,"abduction",60.3,55.4,"2018-02-24 15:35:13"
263,5,1,1,"abduction",89.7,90.5,"2018-02-24 15:35:28"
264,5,1,1,"abduction",122.7,123.1,"2018-02-24 15:35:43"
265,5,1,1,"abduction",61.4,62.2,"2018-02-24 15:36:12"
266,5,1,1,"abduction",89.8,98,"2018-02-24 15:36:29"
267,5,1,1,"abduction",121.3,115.9,"2018-02-24 15:36:44"
268,5,1,1,"abduction",60,71.4,"2018-02-24 15:37:06"
269,5,1,1,"abduction",90.5,89.7,"2018-02-24 15:37:28"
322,7,1,1,"abduction",61.9,68.2,"2018-02-25 13:43:13"
314,6,1,2,"flexion",92.4,96,"2018-02-24 16:55:36"
315,6,1,2,"flexion",118.7,120.5,"2018-02-24 16:56:00"
316,6,1,2,"flexion",61.6,72.8,"2018-02-24 16:56:20"
317,6,1,2,"flexion",90.8,97.4,"2018-02-24 16:56:43"
318,6,1,2,"flexion",117.1,121.1,"2018-02-24 16:57:06"
319,6,1,2,"flexion",60.7,75.1,"2018-02-24 16:57:24"
320,6,1,2,"flexion",89.9,96.9,"2018-02-24 16:57:45"
321,6,1,2,"flexion",118.1,118.1,"2018-02-24 16:58:10"
323,7,1,1,"abduction",87.7,87.9,"2018-02-25 13:43:30"
324,7,1,1,"abduction",121.1,121.1,"2018-02-25 13:43:43"
325,7,1,1,"abduction",61.2,75.1,"2018-02-25 13:43:59"
326,7,1,1,"abduction",89,89.3,"2018-02-25 13:44:13"
327,7,1,1,"abduction",118.5,124.7,"2018-02-25 13:44:29"
328,7,1,1,"abduction",61.5,75.1,"2018-02-25 13:44:42"
329,7,1,1,"abduction",90.8,93.9,"2018-02-25 13:44:57"
