"ID","Gr","age","sex","Q1_syn","Q2_syn","Q3_syn","Q4_syn","Q5_syn","Q6_syn","Q1_asyn","Q2_asyn","Q3_asyn","Q4_asyn","Q5_asyn","Q6_asyn"
1,"C",26,"K",3,3,3,3,2,2,3,-3,-2,-3,-3,-1
2,"C",24,"M",3,3,3,2,-2,-3,-3,-3,-2,-2,-3,2
3,"C",23,"M",0,1,-3,-3,-3,-1,-2,-3,-2,-3,-2,-3
4,"F",24,"K",3,1,1,1,-2,2,-2,-3,-3,-2,-3,3
5,"F",24,"K",3,-3,1,-3,-3,1,3,-3,-3,-3,-3,3
6,"F",21,"K",3,2,3,-2,-2,-2,1,-2,0,-2,1,-2
7,"C",25,"K",3,0,1,-2,2,3,0,-3,-2,-3,-1,2
8,"F",21,"K",3,2,3,-2,-2,-2,1,-2,0,-2,1,-2
9,"F",31,"M",3,2,2,-3,-3,-3,1,1,2,-3,3,2
10,"C",37,"M",2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3
11,"F",21,"K",3,-1,0,1,-3,2,-1,-2,0,1,-3,0
12,"C",23,"M",3,2,1,-3,0,-1,-2,-2,-2,-1,-3,-2
13,"F",19,"K",3,-1,-1,-3,1,2,3,3,1,-3,1,-3
14,"C",24,"K",3,2,3,3,1,-3,-3,-3,-3,-3,-3,-3
15,"F",21,"K",0,1,1,0,-2,-3,0,-1,0,-3,-3,-2
16,"C",23,"K",-3,-3,-2,0,1,2,1,1,-3,-2,1,-3
17,"F",22,"K",1,2,1,0,3,-1,-3,-3,-3,-3,-2,-3
18,"C",21,"K",2,2,0,0,1,-1,2,1,-1,-2,-2,-2
19,"C",19,"K",3,3,3,0,0,1,1,-3,1,0,0,0
20,"C",23,"K",3,-1,1,-3,-3,-2,-3,-3,3,-1,2,2
21,"F",21,"K",2,2,2,0,0,-2,-2,-2,0,-2,0,-2
22,"F",21,"M",3,2,1,-2,0,-3,-3,0,2,1,-3,-3
23,"C",22,"K",3,2,1,-3,2,-3,-2,-2,-1,-3,0,-3
24,"F",21,"K",-3,-2,-3,-3,-3,-1,-3,-3,-3,-3,-3,1
25,"C",27,"K",0,2,2,-3,1,0,0,-2,-2,-2,-2,-3
26,"C",31,"M",2,2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3
27,"F",22,"K",-1,1,-2,2,-3,3,-3,-3,-3,-3,-3,-2
28,"F",22,"K",3,3,3,-1,-2,2,-2,-2,-3,-1,-2,-3
29,"C",23,"K",2,2,-1,0,-2,-2,-2,-2,-1,1,2,3
30,"F",22,"M",-3,-3,-2,-3,-3,-3,-3,-2,-2,-3,-3,-3
31,"F",23,"K",-2,-3,-2,-3,0,-2,-3,-2,-2,-3,-2,-3
32,"C",31,"K",1,-1,1,-2,-2,-2,1,2,3,-1,-1,-2
33,"F",22,"K",3,3,3,-1,-1,3,-3,-3,-3,-3,-3,-3
34,"F",24,"M",1,2,1,-3,-3,-2,-3,-3,-3,-3,-3,-3
35,"F",32,"K",1,1,-2,-2,1,-3,-3,-2,-3,-3,-2,-3
36,"C",25,"M",-2,-1,-2,0,2,-2,-2,-2,-1,-1,1,-1
37,"C",21,"K",2,3,3,-3,-3,-3,3,1,3,-2,3,-3
38,"F",32,"K",1,2,2,0,2,-1,-3,-3,-3,-3,-2,-3
39,"F",23,"M",-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3
40,"C",28,"K",-2,-2,3,-3,-3,-2,1,1,1,-3,-3,-2
41,"C",20,"K",-2,-1,2,-3,-2,3,1,1,2,-1,-3,0
42,"C",22,"K",2,1,2,-2,-3,-3,0,1,-1,-3,-3,-3
43,"F",24,"M",2,1,0,-2,-3,-3,-3,-3,-3,-3,-3,-3
44,"F",19,"M",1,1,0,-2,-2,0,1,0,0,-2,-1,0
45,"C",26,"M",3,0,1,-1,-2,0,-2,-2,-1,1,1,1
46,"C",27,"M",3,2,1,2,-1,1,-3,-3,1,-1,2,0
47,"C",19,"K",3,3,1,-3,-3,2,-3,-3,-3,-3,-3,3
48,"C",24,"K",2,0,2,-2,1,1,-2,-2,-3,-3,-3,-2
49,"F",26,"K",2,2,3,1,1,2,3,3,3,1,2,1
50,"F",27,"M",3,3,2,-3,-3,-3,-1,-1,-3,-3,-3,-3
